topicId,split,topicText,topicTarget,topicSentiment,claims.claimId,claims.stance,claims.claimCorrectedText,claims.claimOriginalText,claims.Compatible,claims.claimTarget.text,claims.claimTarget.span.start,claims.claimTarget.span.end,claims.claimSentiment,claims.targetsRelation,char_length,word_count
441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,202105,CON,A single election in which the party nominee is selected by nonparty members could be enough to destroy the party,A single election in which the party nominee is selected by nonparty members could be enough to destroy the party,yes,A single election in which the party nominee is selected by nonparty members,0.0,76.0,-1.0,1.0,113,20
441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,202106,CON,A party's basic function is to choose its own leaders,"a party's ""basic function"" to choose its own leaders",no,,,,,,53,10
441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,209686,PRO,The open primary can be seen as good for voter participation,The open primary could be seen as good for voter participation,yes,The open primary,0.0,16.0,1.0,1.0,60,11
441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,209687,PRO,the open primary allows nonpartisan or independent voters to participate in the nominating process,the open primary allows nonpartisan or independent voters to participate in the nominating process,yes,the open primary,0.0,16.0,1.0,1.0,98,14
441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,209688,PRO,If nonpartisan or independent voters are allowed to help select the nominees then they may be more likely to vote in the general election,If these voters are allowed to help select the nominees then they may be more likely to vote in the general election,yes,nonpartisan or independent voters,3.0,36.0,1.0,1.0,137,24
441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,209689,CON,voter participation in the United States was higher when people could only vote in the primary for their own party,voter participation in the United States was higher when people could only vote in the primary for their own party,no,,,,,,114,20
441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,209690,CON,With the open primary more voters become independent and are less likely to participate in the nominating or election processes,more voters become independent and are less likely to participate in the nominating or election processes,yes,the open primary,5.0,21.0,-1.0,1.0,127,20
441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,209692,CON,the open primary leaves the party nominations vulnerable to manipulation and dilution,the open primary leaves the party nominations vulnerable to manipulation and dilution,yes,the open primary,0.0,16.0,-1.0,1.0,85,12
441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,209693,CON,Open primary may dilute the vote of a particular party and lead to a nominee who does not represent the views of his particular party,may dilute the vote of a particular party and lead to a nominee who does not represent the views of his particular party,yes,Open primary,0.0,12.0,-1.0,1.0,133,25
441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,209694,CON,the open primary is unconstitutional,the open primary is unconstitutional,yes,the open primary,0.0,16.0,-1.0,1.0,36,5
441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,209695,CON,Open primary statute is unconstitutional,open primary statute was unconstitutional,no,,,,,,40,5
441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,209696,CON,An open primary law is in general unconstitutional,an open primary law was in general unconstitutional,yes,open primary law,3.0,19.0,-1.0,1.0,50,8
441,train,This house believes that open primaries are the most effective method of selecting candidates for elections,open primaries,1,210293,CON,voters of one party sometimes vote in the other party's primary to nominate a candidate who will be easy for their favorite to beat,voters of one party sometimes vote in the other party's primary to nominate a candidate who will be easy for their favorite to beat,no,,,,,,131,24
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,201208,CON,The male condom provides excellent protection against sexually transmitted infections,The male condom provides excellent protection against sexually transmitted infections,yes,The male condom,0.0,15.0,1.0,1.0,85,10
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,201209,PRO,Barrier contraceptives may increase the risk of pregnancy complications,Barrier contraceptives may increase the risk of pregnancy complications,yes,Barrier contraceptives,0.0,22.0,-1.0,1.0,71,9
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,201418,PRO,Abstinence is the only way to avoid sexually transmitted diseases,abstinence was the only way to avoid sexually transmitted diseases,no,,,,,,65,10
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,201419,CON,The use of condoms is encouraged to prevent transmission of HIV,the use of condoms was encouraged to prevent transmission of HIV,yes,The use of condoms,0.0,18.0,1.0,1.0,63,11
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,201420,CON,Condoms are widely recommended for the prevention of sexually transmitted diseases,Condoms are widely recommended for the prevention of sexually transmitted diseases,yes,Condoms,0.0,7.0,1.0,1.0,82,11
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,201421,CON,the Catholic Church should actively support condoms used to prevent disease,the Catholic Church should actively support condoms used to prevent disease,yes,condoms used to prevent disease,44.0,75.0,1.0,1.0,75,11
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,201422,PRO,condom-promotion programs encourage promiscuity,condom-promotion programs encourage promiscuity,yes,condom-promotion programs,0.0,25.0,-1.0,1.0,47,4
