essay_id,topic,component_id,component_type,text
essay01,Should students be taught to compete or to cooperate?,T1,Claim,competition can effectively promote the development of economy
essay01,Should students be taught to compete or to cooperate?,T2,MajorClaim,we should attach more importance to cooperation
essay01,Should students be taught to compete or to cooperate?,T3,Premise,"In order to survive in the competition, companies continue to improve their products and service, and as a result, the whole society prospers"
essay01,Should students be taught to compete or to cooperate?,T4,Claim,"through cooperation, children can learn about interpersonal skills which are significant in the future life of all students"
essay01,Should students be taught to compete or to cooperate?,T5,Premise,"What we acquired from team work is not only how to achieve the same goal with others but more importantly, how to get along with others"
essay01,Should students be taught to compete or to cooperate?,T6,Premise,"During the process of cooperation, children can learn about how to listen to opinions of others, how to communicate with others, how to think comprehensively, and even how to compromise with other team members when conflicts occurred"
essay01,Should students be taught to compete or to cooperate?,T7,Premise,All of these skills help them to get on well with other people and will benefit them for the whole life
essay01,Should students be taught to compete or to cooperate?,T8,Claim,competition makes the society more effective
essay01,Should students be taught to compete or to cooperate?,T9,Premise,the significance of competition is that how to become more excellence to gain the victory
essay01,Should students be taught to compete or to cooperate?,T10,Premise,"when we consider about the question that how to win the game, we always find that we need the cooperation"
essay01,Should students be taught to compete or to cooperate?,T11,Premise,"Take Olympic games which is a form of competition for instance, it is hard to imagine how an athlete could win the game without the training of his or her coach, and the help of other professional staffs such as the people who take care of his diet, and those who are in charge of the medical care"
essay01,Should students be taught to compete or to cooperate?,T12,Premise,The winner is the athlete but the success belongs to the whole team
essay01,Should students be taught to compete or to cooperate?,T13,Claim,"without the cooperation, there would be no victory of competition"
essay01,Should students be taught to compete or to cooperate?,T14,Claim,a more cooperative attitudes towards life is more profitable in one's success
essay02,More people are migrating to other countries than ever before,T1,MajorClaim,they are able to sustain their cultural identities
essay02,More people are migrating to other countries than ever before,T2,Claim,they should follow the local customs in order to integrate into their adopted countries’ cultures
essay02,More people are migrating to other countries than ever before,T3,Claim,sustaining the cultural values of immigrants is paramount essential
essay02,More people are migrating to other countries than ever before,T4,Premise,maintaining one’s cultural identity is a key important rule to help individuals emerge in the new multicultural environments
essay02,More people are migrating to other countries than ever before,T5,Premise,"Take Australia for example, immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues"
essay02,More people are migrating to other countries than ever before,T6,Premise,"Many Australians come this day to enjoy the shows, learn about the cultures and admire the diverse values"
essay02,More people are migrating to other countries than ever before,T7,Premise,"These feedbacks, in turn, help raise one’s pride of their cultures and help people understand each other more"
essay02,More people are migrating to other countries than ever before,T8,Claim,it is crucial to keep one’s identity
essay02,More people are migrating to other countries than ever before,T9,Premise,they need a connection back to their country as well as teach their children their value of origin
essay02,More people are migrating to other countries than ever before,T10,Premise,children immigrated to a new country will face social troubles in school with new friends
essay02,More people are migrating to other countries than ever before,T11,Premise,"In this new environment, parent should find friends coming from their same country so that they can socialize in a very familiar manner as feeling being home"
essay02,More people are migrating to other countries than ever before,T12,Premise,"Fail to create this familiarity makes them felt isolated, in the extreme can lead to social disorder like autism"
essay02,More people are migrating to other countries than ever before,T13,Claim,keeping the cultural traditions in the destination countries is tremendous important
essay02,More people are migrating to other countries than ever before,T14,Claim,sustaining the traditions will make the immigrated people keep their cultural identity and give them confident among the many culture society
essay03,International tourism is now more common than ever before,T1,MajorClaim,it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations
essay03,International tourism is now more common than ever before,T2,Claim,this international tourism has negative effects on the destination countries
